30064771079			68719476739	9	userPath			
30064771087			30064771093	6	req.body.root			
30064771113			68719476779	8	userPath			
30064771132			68719476804	6	userPath			
30064771134			68719476807	9	userPath			
30064771136			68719476810	12	userPath			
30064771151			68719476821	9	userPath			
30064771151			68719476824	10	userPath			
30064771162			68719476834	8	userPath			
30064771186			68719476860	12	userPath			
30064771186			68719476863	13	userPath			
30064771197			68719476877	6	userPath			
30064771197			68719476880	7	userPath			
30064771215			68719476891	7	userPath			
30064771224			68719476911	7	userPath			
30064771236			68719476924	10	userPath			
30064771238			68719476927	13	userPath			
30064771240			68719476930	16	userPath			
30064771241			68719476933	19	userPath			
30064771280			68719476980	6	userPath			
30064771287			68719476989	5	userPath			
